,count,mean,std,min,25%,50%,75%,max
open,1910.0,680.4992408376963,3.900639723977017,656.0,678.65,680.15,682.9,707.0
high,1910.0,680.7461518324607,3.9376501420462593,656.0,678.9,680.4,683.15,707.0
low,1910.0,680.2414136125655,3.901486881492339,656.0,678.3,680.0,682.6375,707.0
close,1910.0,680.4941884816753,3.922238211642267,656.0,678.65,680.15,682.9,707.0
volume,1910.0,17295.279057591622,19389.496273749468,1.0,5920.0,10453.5,21164.25,169414.0
RSI,1910.0,49.83372377054815,11.830533990836097,0.0,43.1453259952802,50.35086598454241,57.20182541907139,86.15946877690787
MACD,1910.0,0.0588644050179165,0.6294191426748286,-4.903796934578395,-0.13342641488071647,0.00927545718224105,0.19439758770940327,6.259961154796429
MACD_signal,1910.0,0.0571502046542776,0.5554974002596393,-1.3005542091664195,-0.119830027256497,0.00100069416680835,0.1942427554487109,5.266152677048554
MACD_hist,1910.0,0.0005438334146937504,0.2638139429849127,-5.435204217902405,-0.053041799931256024,0.0025246419697039,0.05462016771857753,2.3656466756948538
Doji,1910.0,17.06806282722513,37.63281806080601,0.0,0.0,0.0,0.0,100.0
sentiment,1910.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ema_50,1861.0,680.4152297588894,2.985334614481035,673.1597019902497,678.8459560357253,680.3324144440203,682.9713809633868,692.5254356009743
ema_200,1711.0,680.4337709265078,2.4458934333510323,674.9401942023217,679.3588077035265,680.7671562558496,682.3826140810572,684.6248779970739
rsi,1896.0,50.20169430471886,11.068561726914545,3.617365544277018,43.429522534961606,50.456725527237026,57.221336227834385,86.15946877690787
MACD_12_26_9,1885.0,0.05964510004467932,0.6335446947552743,-4.903796934578395,-0.135061573306757,0.013366701689506,0.197455406224094,6.259961154796429
MACDh_12_26_9,1877.0,0.0005533946841049885,0.2661241430137887,-5.435204217902405,-0.0546447337896835,0.0042200418505199,0.0557399167121198,2.3656466756948538
MACDs_12_26_9,1877.0,0.05815497649955793,0.56030970423666,-1.3005542091664195,-0.1225307244721932,0.0053998558499465,0.1976453357241168,5.266152677048554
avg_volume_10d,1901.0,17125.164018937405,11918.8813585433,6.9,8912.9,13936.4,22167.6,80623.9
avg_volume_50d,1861.0,17102.426222461043,8444.047586574587,4112.72,11349.14,14982.12,20536.66,49342.0
volume_ratio,1861.0,1.0258167726397653,1.0505047193987254,3.736599619614159e-05,0.4063986341738365,0.7290840352423195,1.2305212082282446,10.682124688015524
master_score,1910.0,0.7489186224869301,0.5329942778538117,0.0,0.4384003363846786,0.599065585927476,0.8511381148033298,5.719617476261348
52_week_high,1659.0,684.5126883664857,3.3634217392516836,678.2,682.25,684.8,685.8,707.0
distance_from_high,1659.0,-0.005272638154842779,0.004500329157821895,-0.0721357850070721,-0.0078062303932297,-0.0051068796965054,-0.0021150902536793,0.0
